model,MASE,CRPS,MAE,RMSE
TiRex,0.9506,0.2199,7.6996,14.1623
chronos2_base,0.9528,0.2211,7.7582,14.2743
visiontspp_base,0.9684,0.2191,7.6784,14.1062
TimesFM-2.5,0.9708,0.2237,7.8231,14.2026
chronos_bolt_base,0.9923,0.2271,7.8584,14.3705
moirai2,0.9971,0.2227,7.8545,14.3015
sundial_base,1.008,0.2513,8.0216,14.2479
TimesFM-2.0,1.0181,0.2349,8.1021,14.5819
lightgbm,1.0458,0.2348,8.026,14.4887
auto_ets,1.0836,0.2892,9.0186,15.2003
moirai_base,1.0885,0.2384,8.1974,14.7363
TimesFM-1.0,1.1177,0.2425,8.4707,15.0636
seasonal_naive,1.1374,0.3291,9.4781,17.321
patchtst,1.1449,0.2265,8.0274,14.2762
dlinear,1.1957,0.2567,8.2169,14.2855
deepar,1.2607,0.2376,8.2239,14.5365
kairos,2.9944,0.4325,15.8043,25.2084
