model,MASE,CRPS,MAE,RMSE
visiontspp_base,1.1004,0.1668,5.378,10.7375
TiRex,1.107,0.1707,5.4646,10.8221
TimesFM-2.5,1.1071,0.1647,5.4277,10.7461
moirai2,1.1094,0.1674,5.4364,10.7368
chronos2_base,1.1105,0.1678,5.481,10.9622
chronos_bolt_base,1.1181,0.1754,5.5213,11.1517
sundial_base,1.1348,0.2015,5.6358,10.8531
moirai_base,1.1378,0.1837,5.6506,11.0663
TimesFM-2.0,1.1555,0.1759,5.5754,11.0105
TimesFM-1.0,1.2272,0.1826,5.6973,11.1395
auto_ets,1.2356,0.3491,6.3754,11.6394
seasonal_naive,1.3555,0.4182,6.9435,13.6811
kairos,1.4791,0.2657,8.3325,14.4196
patchtst,1.6104,0.1926,5.7523,11.3415
lightgbm,1.6985,0.2212,5.7989,11.226
dlinear,1.8845,0.2581,5.778,10.9054
deepar,2.9578,0.2194,6.0441,11.3575
