model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.892,0.2488,0.2478,0.4436
TiRex,0.8946,0.2515,0.2498,0.4511
visiontspp_base,0.8964,0.2499,0.2486,0.4477
sundial_base,0.8988,0.2778,0.2496,0.4403
moirai2,0.9067,0.2523,0.2518,0.449
TimesFM-2.0,0.9127,0.2583,0.2521,0.4517
chronos2_base,0.9146,0.2543,0.255,0.4657
chronos_bolt_base,0.9326,0.2607,0.2582,0.4739
TimesFM-1.0,0.9334,0.266,0.2576,0.4565
moirai_base,0.9539,0.2684,0.2622,0.4633
patchtst,0.962,0.257,0.2546,0.4484
lightgbm,0.9732,0.2837,0.2603,0.4487
deepar,0.9764,0.2558,0.258,0.4551
auto_ets,1.009,0.3107,0.2831,0.4753
dlinear,1.0253,0.2875,0.265,0.4518
seasonal_naive,1.1108,0.3742,0.316,0.5632
kairos,1.2878,0.3554,0.3465,0.5689
