model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8288,0.2482,16.6076,30.5632
TimesFM-2.5,0.8398,0.2495,16.8186,30.6773
TiRex,0.8413,0.253,16.8831,30.9573
moirai2,0.8426,0.2501,16.8635,30.744
chronos2_base,0.8505,0.2528,17.141,32.4706
TimesFM-2.0,0.8531,0.2558,17.0493,31.0011
dlinear,0.8572,0.2656,17.3115,30.8316
sundial_base,0.8596,0.2811,17.2496,30.8955
chronos_bolt_base,0.8618,0.2581,17.4337,35.3178
moirai_base,0.8632,0.2604,17.3331,31.3913
patchtst,0.8697,0.2569,17.377,31.6773
TimesFM-1.0,0.8708,0.2638,17.5777,31.7193
deepar,0.8779,0.2527,17.4777,32.3726
lightgbm,0.9057,0.2916,18.4303,32.2471
auto_ets,0.9481,0.3082,19.5343,33.9678
seasonal_naive,1.0742,0.3708,22.0821,40.3859
kairos,1.1091,0.3359,23.1235,38.2592
