model,MASE,CRPS,MAE,RMSE
patchtst,0.8299,0.2416,17.2073,23.2661
TiRex,0.8428,0.2394,17.5652,24.4028
TimesFM-2.5,0.8443,0.2411,17.552,24.1383
visiontspp_base,0.8462,0.2396,17.6205,24.3485
chronos_bolt_base,0.8479,0.2405,17.6665,24.522
chronos2_base,0.8534,0.2414,17.7784,24.6682
sundial_base,0.8537,0.2637,17.7398,24.1356
TimesFM-2.0,0.8632,0.2488,17.9478,24.6133
moirai2,0.866,0.246,18.0411,24.8716
lightgbm,0.8754,0.2478,18.1627,24.36
moirai_base,0.8833,0.2558,18.4351,25.3214
deepar,0.8868,0.27,18.5007,24.9005
dlinear,0.888,0.2492,18.3559,24.7212
TimesFM-1.0,0.9118,0.2623,19.0084,26.1138
auto_ets,0.9641,0.2831,20.1118,26.5507
seasonal_naive,1.0499,0.3135,22.0572,29.7817
kairos,1.3977,0.3846,28.8615,38.594
