model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.7996,0.2844,7.4102,11.1893
patchtst,0.8013,0.282,7.416,11.0764
moirai2,0.8076,0.2859,7.4759,11.2579
TimesFM-2.5,0.8088,0.2859,7.4838,11.2384
dlinear,0.8163,0.2956,7.5866,11.1598
chronos2_base,0.8187,0.2904,7.5902,11.4815
TiRex,0.8196,0.2918,7.6201,11.4773
chronos_bolt_base,0.8202,0.2939,7.6079,11.537
TimesFM-2.0,0.8213,0.2919,7.6073,11.4682
moirai_base,0.8276,0.2978,7.6817,11.4481
deepar,0.8285,0.2923,7.6564,11.4187
sundial_base,0.8322,0.3253,7.7522,11.4157
TimesFM-1.0,0.8428,0.3058,7.8576,11.7104
lightgbm,0.8532,0.3129,7.9765,11.6571
auto_ets,0.9349,0.357,8.7791,12.4972
seasonal_naive,1.0564,0.4255,9.9875,14.8574
kairos,1.1266,0.4096,10.5619,14.7632
