model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9223,0.2056,2.2056,4.6341
TiRex,0.9247,0.2053,2.2183,4.6797
TimesFM-2.5,0.9276,0.2035,2.2161,4.6883
moirai2,0.9313,0.2059,2.2324,4.6837
chronos2_base,0.9346,0.2091,2.2521,4.6987
chronos_bolt_base,0.9396,0.2106,2.2626,4.7386
moirai_base,0.9436,0.211,2.2683,4.7443
sundial_base,0.9468,0.2319,2.2954,4.6357
TimesFM-2.0,0.9479,0.2081,2.254,4.7414
TimesFM-1.0,0.9753,0.2159,2.3048,4.7436
patchtst,1.0193,0.2075,2.2393,4.6937
kairos,1.0579,0.2398,2.5858,5.0959
auto_ets,1.0665,0.2733,2.6894,5.0046
dlinear,1.1342,0.2335,2.3836,4.6594
seasonal_naive,1.1637,0.3379,2.9968,6.1549
deepar,1.1751,0.2119,2.3513,4.9751
lightgbm,1.1883,0.2205,2.3137,4.7109
