model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8109,0.3253,11.7458,21.9996
TimesFM-2.5,0.8113,0.324,11.6891,21.6372
TiRex,0.8159,0.3272,11.8187,22.0335
moirai2,0.8203,0.3233,11.8295,21.9265
patchtst,0.8275,0.3294,12.0311,22.2475
TimesFM-2.0,0.8306,0.338,12.027,22.0839
chronos2_base,0.832,0.3291,12.1373,24.488
dlinear,0.8345,0.3486,12.317,22.0473
moirai_base,0.835,0.3406,12.1673,22.6276
sundial_base,0.8364,0.3706,12.1881,22.1124
deepar,0.8411,0.3353,12.2016,22.5861
chronos_bolt_base,0.8469,0.3387,12.4414,25.7687
TimesFM-1.0,0.854,0.3532,12.4478,22.676
lightgbm,0.9122,0.357,13.2488,23.9948
auto_ets,0.93,0.4124,13.9435,25.0869
kairos,0.9612,0.4109,14.1681,24.4548
seasonal_naive,1.0975,0.5201,16.5706,30.2063
