model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9202,0.2013,2.1491,4.5515
TiRex,0.9227,0.2011,2.1628,4.5971
TimesFM-2.5,0.9261,0.1995,2.1608,4.6041
moirai2,0.9294,0.2018,2.1761,4.6019
chronos2_base,0.9326,0.2046,2.1939,4.6136
chronos_bolt_base,0.9389,0.2062,2.2051,4.6508
moirai_base,0.9435,0.2068,2.2121,4.6605
sundial_base,0.9452,0.2269,2.2365,4.5531
TimesFM-2.0,0.9469,0.2041,2.1986,4.6565
TimesFM-1.0,0.974,0.2118,2.2477,4.6589
patchtst,1.0164,0.2038,2.1906,4.6261
kairos,1.06,0.2358,2.534,5.0325
auto_ets,1.0628,0.2667,2.6127,4.9095
dlinear,1.1255,0.2288,2.3254,4.5793
seasonal_naive,1.1586,0.3293,2.9107,6.0391
deepar,1.1695,0.2087,2.3072,4.9097
lightgbm,1.1785,0.2165,2.261,4.6366
