model,MASE,CRPS,MAE,RMSE
patchtst,0.834,0.2808,21.9015,50.9413
visiontspp_base,0.8367,0.2904,22.108,50.8949
TimesFM-2.5,0.8385,0.289,21.9116,50.1924
TiRex,0.8403,0.2924,22.0371,50.313
moirai2,0.8457,0.2891,22.1525,50.703
TimesFM-2.0,0.8574,0.3021,22.597,50.7717
dlinear,0.8575,0.3018,23.1644,51.3181
chronos2_base,0.8595,0.2964,22.7829,54.0095
moirai_base,0.8624,0.3038,22.8504,51.7781
sundial_base,0.8629,0.3302,22.9298,50.9764
TimesFM-1.0,0.8768,0.3112,23.1606,51.5796
chronos_bolt_base,0.8771,0.305,23.5818,58.7795
deepar,0.8833,0.3094,23.4658,52.3363
lightgbm,0.9106,0.3172,24.3449,53.321
auto_ets,0.963,0.3784,26.9573,57.3403
kairos,0.9856,0.3595,26.0608,54.6534
seasonal_naive,1.125,0.474,31.5201,69.0545
