model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8341,0.1741,0.1333,0.2084
TimesFM-2.5,0.8406,0.174,0.134,0.2097
TiRex,0.8422,0.176,0.1353,0.2134
moirai2,0.8448,0.1747,0.1349,0.2106
patchtst,0.8455,0.1749,0.1343,0.2074
chronos2_base,0.8522,0.1769,0.1367,0.2154
chronos_bolt_base,0.8571,0.1784,0.1374,0.2165
sundial_base,0.8572,0.1922,0.1374,0.2108
moirai_base,0.8627,0.1808,0.1379,0.2157
TimesFM-2.0,0.8654,0.1801,0.1381,0.2148
dlinear,0.8676,0.1847,0.1385,0.2098
TimesFM-1.0,0.8899,0.1868,0.1421,0.2185
lightgbm,0.9115,0.1883,0.1443,0.2204
deepar,0.9138,0.1865,0.1458,0.231
auto_ets,0.9546,0.2083,0.155,0.2297
kairos,1.031,0.2178,0.1661,0.246
seasonal_naive,1.0726,0.2535,0.1782,0.2766
