model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8134,0.3278,11.1944,21.0401
TimesFM-2.5,0.8147,0.3269,11.1548,20.7417
TiRex,0.8187,0.3299,11.2715,21.0764
moirai2,0.8237,0.3262,11.2869,20.9976
patchtst,0.8331,0.3338,11.488,21.3125
TimesFM-2.0,0.8337,0.3407,11.4751,21.1478
chronos2_base,0.8339,0.3315,11.5652,23.2862
moirai_base,0.838,0.3433,11.5998,21.6409
sundial_base,0.8396,0.3742,11.6234,21.1831
dlinear,0.8424,0.3536,11.7604,21.1166
deepar,0.8463,0.3386,11.649,21.6386
chronos_bolt_base,0.8486,0.3409,11.8595,24.5345
TimesFM-1.0,0.8556,0.355,11.8616,21.7096
lightgbm,0.9127,0.3595,12.6159,22.9469
auto_ets,0.9306,0.4153,13.2664,23.9116
kairos,0.9659,0.4139,13.5211,23.459
seasonal_naive,1.097,0.524,15.7695,28.8769
