model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8001,0.2863,7.2728,11.0374
patchtst,0.803,0.2844,7.2886,10.9364
moirai2,0.8082,0.2879,7.3366,11.1027
TimesFM-2.5,0.8096,0.288,7.3468,11.0873
dlinear,0.8179,0.2984,7.455,11.0109
chronos2_base,0.8188,0.2922,7.4444,11.3124
TiRex,0.8202,0.2938,7.4795,11.3193
chronos_bolt_base,0.8206,0.2959,7.4663,11.3718
TimesFM-2.0,0.8224,0.2943,7.4712,11.3155
moirai_base,0.8286,0.2998,7.5406,11.2917
deepar,0.8306,0.2945,7.5278,11.2824
sundial_base,0.8329,0.3275,7.611,11.261
TimesFM-1.0,0.843,0.3076,7.7093,11.5454
lightgbm,0.8537,0.3149,7.834,11.4978
auto_ets,0.9358,0.3604,8.627,12.337
seasonal_naive,1.0565,0.4298,9.8066,14.6643
kairos,1.1347,0.4147,10.4263,14.6238
