model,MASE,CRPS,MAE,RMSE
patchtst,0.8289,0.2392,17.0327,23.0325
TiRex,0.8406,0.2369,17.3747,24.1571
TimesFM-2.5,0.8423,0.2384,17.3626,23.8868
visiontspp_base,0.844,0.2368,17.4281,24.0984
chronos_bolt_base,0.8457,0.2378,17.4703,24.277
chronos2_base,0.8508,0.2386,17.5737,24.407
sundial_base,0.8518,0.2606,17.5536,23.8961
TimesFM-2.0,0.8611,0.246,17.756,24.3609
moirai2,0.8643,0.2434,17.8523,24.6238
lightgbm,0.8746,0.2453,17.9832,24.1265
moirai_base,0.8813,0.2528,18.237,25.0645
deepar,0.8853,0.2668,18.2972,24.6347
dlinear,0.8886,0.247,18.1948,24.5039
TimesFM-1.0,0.9103,0.2594,18.8159,25.8316
auto_ets,0.9636,0.2803,19.9261,26.3107
seasonal_naive,1.0495,0.3106,21.8577,29.5498
kairos,1.4055,0.3836,28.7357,38.3956
