model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8121,0.3346,3.1761,5.3399
patchtst,0.8131,0.3278,3.171,5.3205
TimesFM-2.5,0.8149,0.3318,3.1873,5.373
TiRex,0.8167,0.3369,3.2067,5.4142
moirai2,0.8219,0.3331,3.2158,5.4129
chronos2_base,0.8294,0.3391,3.2619,5.5372
TimesFM-2.0,0.8328,0.3449,3.2785,5.5189
dlinear,0.8342,0.3447,3.2823,5.377
chronos_bolt_base,0.8392,0.3443,3.2941,5.6645
deepar,0.84,0.3434,3.2806,5.5184
moirai_base,0.8402,0.3504,3.327,5.6215
sundial_base,0.8409,0.3801,3.3142,5.4876
TimesFM-1.0,0.855,0.3593,3.365,5.5963
auto_ets,0.9209,0.4089,3.6743,5.8966
lightgbm,0.9398,0.3564,3.5906,5.9891
kairos,0.957,0.4092,3.8342,6.1838
seasonal_naive,1.0877,0.5106,4.3297,7.0138
