model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8179,0.3147,5.2122,8.697
patchtst,0.8225,0.3266,5.2595,8.6619
TimesFM-2.5,0.8241,0.3128,5.2437,8.7747
TiRex,0.827,0.3214,5.2836,8.8148
moirai2,0.8341,0.3157,5.313,8.8413
chronos2_base,0.8362,0.3223,5.3591,8.9755
chronos_bolt_base,0.8381,0.3268,5.3678,9.0216
dlinear,0.8402,0.3396,5.4291,8.7546
sundial_base,0.8422,0.3588,5.4039,8.8774
TimesFM-2.0,0.8428,0.3252,5.3903,8.9874
moirai_base,0.8459,0.3277,5.4207,8.9884
TimesFM-1.0,0.8557,0.3335,5.4667,9.0194
deepar,0.8619,0.3175,5.4496,9.2374
lightgbm,0.9139,0.3366,5.7552,9.5316
auto_ets,0.9245,0.3869,6.027,9.5246
kairos,0.9474,0.3726,6.1087,9.7366
seasonal_naive,1.079,0.4786,7.0307,11.4519
