model,AURN,CNEMC,CPCB,EEA DE,EEA FR,EPA,SINAICA
visiontspp_base,0.7562,0.7698,0.8108,0.7637,0.7604,0.7758,0.8224
TiRex,0.7577,0.7754,0.8115,0.7664,0.764,0.7787,0.8331
TimesFM-2.5,0.7584,0.7735,0.8137,0.7669,0.7648,0.7811,0.8338
moirai2,0.7685,0.7802,0.8218,0.7782,0.7757,0.7908,0.8362
chronos2_base,0.7776,0.785,0.8194,0.7774,0.7758,0.7891,0.8336
chronos_bolt_base,0.7794,0.791,0.8343,0.7815,0.7746,0.7911,0.8377
sundial_base,0.7681,0.7916,0.8301,0.7825,0.7801,0.7971,0.8448
TimesFM-2.0,0.771,0.7911,0.8367,0.7944,0.7769,0.8024,0.845
moirai_base,0.7854,0.7956,0.8594,0.793,0.7913,0.805,0.855
patchtst,0.7603,0.7869,0.9387,0.8198,0.7813,0.7947,0.8436
TimesFM-1.0,0.7894,0.8157,0.8717,0.8437,0.7943,0.8329,0.8609
dlinear,0.7856,0.8231,1.0209,1.1098,0.7996,0.8292,0.8713
deepar,0.7861,0.8424,1.1962,0.8614,0.8399,0.8401,0.888
auto_ets,0.8667,0.8862,0.9083,0.8808,0.8835,0.9093,0.9357
lightgbm,0.8279,0.8595,0.9487,1.3731,0.8433,0.8245,0.8759
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.8713,1.0035,1.2948,0.9383,0.9505,1.0024,1.1263
