model,CO,NO2,Ozone,PM10,PM2.5,SO2
visiontspp_base,0.7836,0.7738,0.7975,0.7601,0.7543,0.796
TiRex,0.7892,0.7887,0.7901,0.7691,0.7596,0.7941
TimesFM-2.5,0.7911,0.783,0.7956,0.7664,0.7589,0.7995
moirai2,0.7985,0.7884,0.8193,0.7737,0.7655,0.8022
chronos2_base,0.8019,0.7892,0.8034,0.7766,0.7715,0.8089
chronos_bolt_base,0.8065,0.7861,0.8075,0.784,0.7805,0.8133
sundial_base,0.803,0.7984,0.8097,0.7829,0.7776,0.8109
TimesFM-2.0,0.8061,0.7936,0.8143,0.781,0.7735,0.8282
moirai_base,0.8269,0.8052,0.8449,0.7876,0.7795,0.8175
patchtst,0.8148,0.8348,0.8227,0.7689,0.7732,0.8505
TimesFM-1.0,0.8214,0.8134,0.8681,0.7946,0.7938,0.8617
dlinear,0.8467,0.865,0.845,0.7843,0.7804,1.0367
deepar,0.8765,0.9342,0.9004,0.7997,0.7952,0.9137
lightgbm,0.8787,0.8759,0.8756,0.827,0.8395,1.0415
auto_ets,0.9034,0.8941,0.9094,0.8683,0.8581,0.9291
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.9935,1.0399,1.396,0.9034,0.9111,0.8818
