model,MASE,CRPS,MAE,RMSE
TiRex,1.143,0.3532,1.0073,2.9659
visiontspp_base,1.1462,0.3647,1.0331,2.9932
moirai2,1.1507,0.3505,1.0292,3.0072
TimesFM-2.5,1.1533,0.3488,1.0179,2.9776
chronos2_base,1.1699,0.372,1.0499,3.0067
sundial_base,1.1755,0.4368,1.0813,2.916
moirai_base,1.1785,0.3588,1.0394,3.0174
chronos_bolt_base,1.1834,0.3674,1.0457,3.0521
kairos,1.2324,0.4166,1.113,3.0618
TimesFM-2.0,1.2937,0.3634,1.0308,2.9835
auto_ets,1.3704,0.6585,1.4062,3.1816
patchtst,1.441,0.3582,1.0381,3.0224
seasonal_naive,1.4541,0.8544,1.5003,3.9625
TimesFM-1.0,1.5102,0.3696,1.0467,2.9863
deepar,1.5497,0.3737,1.0631,3.0498
dlinear,3.5959,0.4664,1.1811,2.9514
lightgbm,5.0461,0.3901,1.0659,3.008
