model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8083,0.3168,5.3652,7.8223
chronos_bolt_base,0.8168,0.3234,5.4113,7.8713
TimesFM-2.5,0.8172,0.3176,5.4309,7.9107
TimesFM-2.0,0.8207,0.3213,5.4439,7.9737
chronos2_base,0.822,0.3226,5.4493,7.9497
TiRex,0.8228,0.3242,5.48,7.9863
sundial_base,0.8283,0.3596,5.515,7.9213
moirai2,0.8302,0.322,5.533,8.0375
TimesFM-1.0,0.8348,0.3334,5.5484,8.0535
dlinear,0.8402,0.3392,5.5674,7.7814
patchtst,0.841,0.3363,5.5674,7.7905
moirai_base,0.8443,0.3336,5.6293,8.1141
deepar,0.8578,0.3185,5.6635,8.408
lightgbm,0.8824,0.3428,5.8264,8.4372
auto_ets,0.9285,0.3868,6.1786,8.5304
kairos,1.0383,0.4095,6.9053,9.4983
seasonal_naive,1.0614,0.4615,7.0697,10.0134
