model,MASE,CRPS,MAE,RMSE
patchtst,0.8149,0.2995,4.9039,8.8209
visiontspp_base,0.8174,0.3052,4.9176,8.7992
TimesFM-2.5,0.8183,0.3008,4.9104,8.7364
TiRex,0.8245,0.3073,4.9631,8.8318
moirai2,0.8285,0.3036,4.9799,8.8621
dlinear,0.8299,0.3148,5.0246,8.7398
chronos2_base,0.834,0.3118,5.0576,9.16
TimesFM-2.0,0.8371,0.3152,5.0623,8.98
moirai_base,0.8394,0.3169,5.0794,9.0421
sundial_base,0.8404,0.3446,5.0877,8.8672
chronos_bolt_base,0.8438,0.3169,5.1128,9.2674
TimesFM-1.0,0.8595,0.3286,5.1931,9.0459
deepar,0.8596,0.3287,5.2118,9.1147
lightgbm,0.9086,0.3508,5.5514,9.4529
auto_ets,0.9237,0.3794,5.6885,9.6126
kairos,0.9344,0.3597,5.6947,9.6061
seasonal_naive,1.0894,0.4752,6.7313,11.5833
