model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9346,0.1274,3.8923,7.7184
moirai2,0.9433,0.1282,3.9268,7.6306
TiRex,0.9461,0.1299,3.9689,7.8089
TimesFM-2.5,0.9462,0.1277,3.9378,7.7373
chronos2_base,0.9491,0.1292,3.9637,7.7871
chronos_bolt_base,0.9557,0.1315,3.9905,7.8557
moirai_base,0.9677,0.1361,4.0965,7.8912
TimesFM-2.0,0.9787,0.133,4.0649,7.979
sundial_base,0.9834,0.1486,4.0868,7.8231
TimesFM-1.0,1.0221,0.141,4.1642,8.0212
auto_ets,1.0855,0.1924,4.6103,8.3856
seasonal_naive,1.2195,0.2299,5.0228,9.8442
kairos,1.2585,0.1975,6.211,10.753
patchtst,1.3088,0.1432,4.2211,8.1647
lightgbm,1.3194,0.1504,4.2867,8.0583
dlinear,1.5309,0.1728,4.2724,7.845
deepar,2.2564,0.16,4.6203,8.2897
