model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8153,0.2261,34.9241,56.4624
patchtst,0.8209,0.2244,35.1268,56.6443
TimesFM-2.5,0.8249,0.2281,35.3694,56.9757
TiRex,0.8272,0.231,35.5604,57.3082
moirai2,0.8283,0.2283,35.5096,57.0574
chronos2_base,0.8325,0.2295,35.8419,57.9549
TimesFM-2.0,0.8362,0.2324,35.8489,57.6293
dlinear,0.8365,0.2347,35.9235,56.869
chronos_bolt_base,0.8379,0.2325,35.9639,59.3147
sundial_base,0.8445,0.2531,36.2763,57.5302
moirai_base,0.8485,0.2373,36.4623,57.9714
TimesFM-1.0,0.8556,0.2404,36.8691,58.7188
deepar,0.8584,0.2295,36.4185,58.9364
lightgbm,0.8776,0.2519,37.722,58.6416
auto_ets,0.9302,0.2689,40.4749,62.1109
seasonal_naive,1.0599,0.319,46.1891,73.167
kairos,1.079,0.297,46.9878,70.4018
