model,MASE,CRPS,MAE,RMSE
TiRex,0.9084,0.2118,7.5883,13.6471
chronos2_base,0.9149,0.2139,7.6435,13.7475
visiontspp_base,0.9176,0.2104,7.5491,13.5745
TimesFM-2.5,0.9237,0.2141,7.6903,13.6824
moirai2,0.9252,0.2137,7.7143,13.7713
chronos_bolt_base,0.9338,0.2175,7.739,13.8551
sundial_base,0.9413,0.2377,7.8608,13.6649
TimesFM-2.0,0.9495,0.2233,7.9243,13.9767
lightgbm,0.9625,0.223,7.8864,13.8929
moirai_base,0.9736,0.2256,7.9992,14.0494
TimesFM-1.0,0.993,0.2296,8.2374,14.4061
patchtst,0.9938,0.2162,7.8443,13.646
dlinear,1.0428,0.2384,8.0272,13.7171
auto_ets,1.0433,0.2661,8.8427,14.6136
deepar,1.1009,0.2272,8.0521,13.856
seasonal_naive,1.1112,0.3045,9.4227,16.7771
kairos,1.8959,0.392,14.3513,22.7637
