model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8122,0.2368,16.6448,29.5056
TiRex,0.8248,0.2414,16.9504,29.8962
TimesFM-2.5,0.825,0.2393,16.882,29.6253
moirai2,0.8269,0.239,16.8889,29.6609
TimesFM-2.0,0.8345,0.2434,17.0528,29.7217
chronos2_base,0.8361,0.2415,17.2825,31.5582
dlinear,0.8375,0.2486,17.3113,29.8076
sundial_base,0.8407,0.2661,17.2038,29.803
moirai_base,0.8473,0.2493,17.4287,30.4328
chronos_bolt_base,0.851,0.2475,17.6723,36.3013
patchtst,0.8523,0.2435,17.4519,30.7074
TimesFM-1.0,0.8549,0.2521,17.6285,30.6134
deepar,0.857,0.2385,17.4763,31.2669
lightgbm,0.8866,0.2753,18.4669,31.2013
auto_ets,0.9308,0.2854,19.6075,33.0278
seasonal_naive,1.0642,0.3407,22.2811,39.2905
kairos,1.0869,0.3205,23.0187,37.0376
