model,MASE,CRPS,MAE,RMSE
TiRex,0.899,0.1568,2.5868,5.701
chronos2_base,0.9063,0.1587,2.6292,5.8166
TimesFM-2.5,0.9066,0.1562,2.6089,5.7253
visiontspp_base,0.91,0.1583,2.6243,5.7665
moirai2,0.9143,0.158,2.64,5.7737
sundial_base,0.9321,0.1722,2.6863,5.7139
chronos_bolt_base,0.9336,0.163,2.707,5.891
TimesFM-2.0,0.9353,0.1625,2.6898,5.8342
TimesFM-1.0,0.9742,0.1667,2.7913,5.9486
moirai_base,0.9851,0.1684,2.7973,5.9443
lightgbm,1.0273,0.1732,2.902,6.0706
auto_ets,1.0294,0.1955,3.0742,6.1748
patchtst,1.0348,0.1648,2.8168,5.948
kairos,1.151,0.1898,3.216,6.509
seasonal_naive,1.1593,0.2416,3.5091,7.5593
dlinear,1.282,0.1959,3.0474,5.9889
deepar,1.4197,0.1825,3.1799,6.2313
