model,AURN,CNEMC,CPCB,EEA DE,EEA FR,EPA,SINAICA
visiontspp_base,0.7468,0.768,0.7798,0.7656,0.7528,0.7933,0.7843
TiRex,0.7486,0.7732,0.7813,0.7684,0.7598,0.7964,0.7934
TimesFM-2.5,0.7482,0.7707,0.7844,0.7686,0.7586,0.7977,0.803
moirai2,0.7583,0.7777,0.7879,0.7805,0.7676,0.8065,0.819
chronos2_base,0.7738,0.7836,0.7903,0.7803,0.7839,0.8039,0.7916
chronos_bolt_base,0.773,0.7895,0.8064,0.7823,0.7885,0.809,0.7938
sundial_base,0.7584,0.7889,0.8031,0.7845,0.7728,0.8132,0.8239
TimesFM-2.0,0.7599,0.7882,0.8028,0.8022,0.7731,0.8156,0.8343
moirai_base,0.7801,0.7927,0.8234,0.7949,0.7867,0.8201,0.8397
patchtst,0.7474,0.7836,0.8831,0.837,0.7735,0.8096,0.8328
TimesFM-1.0,0.7821,0.8136,0.8323,0.8614,0.7891,0.8464,0.8955
deepar,0.7717,0.8394,1.1057,0.8844,0.8257,0.8473,0.8726
auto_ets,0.8634,0.8847,0.8956,0.8819,0.8789,0.9212,0.9389
dlinear,0.7722,0.8197,0.9672,1.2358,0.795,0.8475,0.8753
lightgbm,0.8147,0.8591,0.896,1.5815,0.8393,0.8386,0.9173
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kairos,0.8566,0.9956,1.1587,0.942,0.9458,1.0231,1.1779
