model,CO,NO2,Ozone,PM10,PM2.5,SO2
visiontspp_base,0.7596,0.7643,0.7832,0.7517,0.7411,0.7907
TiRex,0.7656,0.7793,0.7771,0.7578,0.7448,0.7906
TimesFM-2.5,0.7668,0.7731,0.7831,0.7547,0.7421,0.7955
moirai2,0.7749,0.7789,0.8061,0.7622,0.7483,0.7974
chronos2_base,0.7807,0.7797,0.7912,0.7673,0.7578,0.8224
sundial_base,0.7796,0.791,0.7955,0.7725,0.7634,0.8069
TimesFM-2.0,0.7813,0.7836,0.7996,0.7688,0.7558,0.833
chronos_bolt_base,0.7871,0.7758,0.792,0.7763,0.7723,0.8269
moirai_base,0.805,0.7958,0.8248,0.7752,0.766,0.8216
patchtst,0.7909,0.8197,0.8043,0.7535,0.7589,0.8651
TimesFM-1.0,0.8012,0.8009,0.852,0.7862,0.7827,0.8694
deepar,0.842,0.9205,0.8757,0.786,0.7769,0.9494
dlinear,0.8205,0.8496,0.8261,0.7726,0.7646,1.1197
auto_ets,0.8944,0.8887,0.8991,0.8632,0.8503,0.9215
lightgbm,0.8622,0.859,0.8644,0.8193,0.8318,1.1239
kairos,0.9879,1.0285,1.2544,0.8829,0.8821,0.8765
seasonal_naive,1.0,1.0,1.0,1.0,1.0,1.0
