model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8546,0.3622,11.12,32.6257
TiRex,0.8617,0.3669,11.201,32.6604
TimesFM-2.5,0.8629,0.3572,11.1983,32.705
patchtst,0.8632,0.3632,11.2626,32.8881
chronos2_base,0.8692,0.3703,11.3395,33.1672
moirai2,0.8696,0.3628,11.3211,32.8548
chronos_bolt_base,0.874,0.3733,11.4323,33.8903
TimesFM-2.0,0.8772,0.3657,11.3808,32.9699
TimesFM-1.0,0.8805,0.3719,11.4426,32.8218
sundial_base,0.881,0.4258,11.6947,32.5139
moirai_base,0.8832,0.3751,11.5166,33.0022
deepar,0.8999,0.3797,11.5967,33.1713
dlinear,0.9069,0.4154,12.5281,33.4219
lightgbm,0.9072,0.3852,11.6725,33.0893
kairos,1.0027,0.4375,13.2004,34.3256
auto_ets,1.0174,0.5791,14.7726,35.9542
seasonal_naive,1.1366,0.7215,15.7251,44.1365
