model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8021,0.333,2.7839,5.1392
TimesFM-2.5,0.8022,0.3285,2.7788,5.1209
TiRex,0.8031,0.3333,2.7909,5.1354
moirai2,0.8112,0.3312,2.8128,5.1956
patchtst,0.8169,0.3476,2.8289,5.1353
chronos2_base,0.8212,0.34,2.8711,5.4274
sundial_base,0.8224,0.376,2.8695,5.1815
TimesFM-2.0,0.823,0.3434,2.8699,5.2535
deepar,0.8272,0.3438,2.8701,5.2722
moirai_base,0.8302,0.3488,2.9021,5.3568
dlinear,0.8334,0.3459,2.8946,5.1739
chronos_bolt_base,0.8337,0.346,2.9354,5.977
TimesFM-1.0,0.839,0.3529,2.9228,5.2931
lightgbm,0.8625,0.3751,3.0002,5.348
auto_ets,0.9261,0.4232,3.3007,5.8238
kairos,0.9269,0.3991,3.2612,5.6212
seasonal_naive,1.0939,0.536,3.9045,6.9949
