model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8013,0.5008,6.5413,9.847
TimesFM-2.5,0.8114,0.4885,6.6255,9.9045
chronos_bolt_base,0.8164,0.5012,6.6546,9.9662
TiRex,0.8165,0.498,6.686,10.0605
patchtst,0.8183,0.5322,6.6748,9.7681
chronos2_base,0.8184,0.4765,6.665,10.0168
moirai2,0.8188,0.5055,6.6965,10.0392
TimesFM-2.0,0.8244,0.5095,6.754,10.1727
moirai_base,0.8329,0.5676,6.7992,10.1212
sundial_base,0.833,0.6239,6.8503,10.0257
dlinear,0.8339,0.5807,6.8429,9.894
TimesFM-1.0,0.8354,0.5332,6.865,10.2198
deepar,0.8513,0.4478,6.8418,10.2904
lightgbm,0.8779,0.6605,7.2022,10.1833
auto_ets,0.9495,0.7047,7.7854,10.9225
seasonal_naive,1.0554,0.8191,8.7238,12.9117
kairos,1.1282,0.6984,9.1936,12.6838
