model,MASE,CRPS,MAE,RMSE
TiRex,1.4107,2.3036,1.9324,6.4052
visiontspp_base,1.4147,3.2334,2.0305,6.5216
TimesFM-2.5,1.4196,2.1108,1.9661,6.4239
moirai2,1.4242,2.2087,1.976,6.494
chronos2_base,1.4288,2.8384,2.0379,6.7045
chronos_bolt_base,1.4351,2.9365,2.0228,6.7288
moirai_base,1.4394,2.5763,2.0217,6.6034
sundial_base,1.4502,5.6878,2.1128,6.3347
patchtst,1.4728,1.3669,2.0568,6.9266
lightgbm,1.4788,3.9619,2.0712,6.621
TimesFM-2.0,1.5205,3.2272,1.9979,6.4743
deepar,1.5267,0.6886,2.0941,6.7495
kairos,1.5408,5.3393,2.2719,6.7797
dlinear,1.5923,3.2945,2.2572,6.7085
auto_ets,1.6359,12.7317,2.7071,6.972
TimesFM-1.0,1.6915,2.909,2.0563,6.5002
seasonal_naive,1.7052,18.4162,2.8211,8.5252
