model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8488,0.3682,0.0881,0.1512
TiRex,0.8574,0.3712,0.0893,0.1536
TimesFM-2.5,0.8634,0.3767,0.0891,0.1517
chronos2_base,0.8646,0.3682,0.0899,0.1544
moirai2,0.8698,0.3509,0.0901,0.1536
chronos_bolt_base,0.8738,0.3759,0.0905,0.1564
patchtst,0.879,0.3548,0.0906,0.1551
sundial_base,0.8807,0.4181,0.0919,0.1524
TimesFM-2.0,0.8808,0.3677,0.091,0.1552
moirai_base,0.8911,0.367,0.0924,0.1565
lightgbm,0.9044,0.3862,0.0939,0.157
TimesFM-1.0,0.9059,0.4156,0.0937,0.1572
dlinear,0.9083,0.4305,0.0938,0.1523
deepar,0.9621,0.3874,0.0973,0.1607
auto_ets,1.0083,0.4734,0.1074,0.1677
seasonal_naive,1.0819,0.5524,0.117,0.2005
kairos,1.0963,0.4792,0.1157,0.1838
