model,MASE,CRPS,MAE,RMSE
TiRex,0.8168,0.191,12.2423,16.5922
patchtst,0.8184,0.2177,12.1945,16.0473
TimesFM-2.5,0.8209,0.1942,12.288,16.5305
visiontspp_base,0.8245,0.1973,12.3425,16.6868
sundial_base,0.8248,0.2245,12.3462,16.4502
chronos_bolt_base,0.8262,0.1935,12.3776,16.8142
TimesFM-2.0,0.834,0.2089,12.4887,16.7364
chronos2_base,0.8353,0.1928,12.5011,16.9878
dlinear,0.8368,0.2174,12.4689,16.4271
lightgbm,0.8525,0.2314,12.7018,16.6339
moirai2,0.8528,0.2056,12.8021,17.2337
moirai_base,0.8692,0.2096,13.0409,17.4316
TimesFM-1.0,0.8883,0.2364,13.3755,17.9601
deepar,0.8916,0.263,13.2456,17.5113
auto_ets,0.9503,0.2309,14.2676,18.5114
seasonal_naive,1.0467,0.2657,15.826,21.1678
kairos,1.5208,0.3469,22.4205,29.082
