model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8512,0.289,20.9798,40.8973
chronos2_base,0.8648,0.2928,21.3777,41.5444
TimesFM-2.5,0.8662,0.2887,21.2253,41.0435
TiRex,0.8704,0.2963,21.359,41.2117
moirai2,0.8707,0.2917,21.4258,41.2264
chronos_bolt_base,0.8723,0.2989,21.5581,41.8016
TimesFM-2.0,0.8749,0.2977,21.6168,41.7156
sundial_base,0.8825,0.3343,21.9352,41.5085
patchtst,0.8855,0.298,22.1685,42.9001
TimesFM-1.0,0.8878,0.3016,21.9551,42.0422
dlinear,0.8906,0.3174,22.4768,41.7495
moirai_base,0.8914,0.3037,21.9716,41.7619
deepar,0.8951,0.3181,22.5879,43.6026
lightgbm,0.9117,0.3282,23.1214,44.0335
auto_ets,0.9803,0.3673,24.9638,44.7559
kairos,1.0547,0.354,25.5281,45.4405
seasonal_naive,1.0915,0.4422,28.2702,54.3864
