model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.9095,0.1829,3.13,7.8879
TiRex,0.9161,0.1841,3.1473,7.9253
moirai2,0.9208,0.185,3.1693,7.9428
chronos2_base,0.924,0.187,3.184,7.8948
TimesFM-2.5,0.9243,0.1847,3.1736,7.9616
patchtst,0.9261,0.1866,3.164,7.9448
chronos_bolt_base,0.9334,0.1896,3.2274,7.9525
TimesFM-2.0,0.9363,0.187,3.1981,8.0296
sundial_base,0.9388,0.2094,3.3227,7.7777
moirai_base,0.9391,0.189,3.2145,8.0723
TimesFM-1.0,0.9491,0.1922,3.2558,8.0382
lightgbm,0.9587,0.1968,3.2619,7.8282
deepar,0.9948,0.1962,3.3248,8.1522
dlinear,0.9961,0.2122,3.5147,7.7798
kairos,1.032,0.2083,3.4907,8.2325
auto_ets,1.0931,0.2638,4.0759,8.3348
seasonal_naive,1.1594,0.3152,4.2668,9.987
