model,MASE,CRPS,MAE,RMSE
visiontspp_base,1.6982,0.1515,0.4278,12.3513
TimesFM-2.5,1.7076,0.1473,0.4296,12.3436
TiRex,1.7098,0.1675,0.4335,12.3531
moirai2,1.7145,0.1521,0.4348,12.3544
chronos2_base,1.7152,0.1571,0.4372,12.3594
chronos_bolt_base,1.7218,1.0164,0.7057,16.1471
sundial_base,1.722,0.2239,0.4614,12.3412
TimesFM-2.0,1.725,0.1579,0.4422,12.3554
patchtst,1.7387,0.2633,0.4905,12.3702
TimesFM-1.0,1.7463,0.1816,0.4505,12.3579
moirai_base,1.7539,0.1547,0.4411,12.3583
lightgbm,1.7738,0.3728,0.6122,13.1286
dlinear,1.7871,0.5588,0.67,13.1462
auto_ets,1.8405,1.1706,0.7713,13.1957
deepar,1.8942,0.3779,0.5457,12.421
seasonal_naive,1.9404,1.4281,0.7287,17.3374
kairos,2.0968,0.4311,0.5815,12.5248
