model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8517,0.2674,9.3816,14.2775
chronos_bolt_base,0.8678,0.2746,9.6291,14.6746
TimesFM-2.5,0.8693,0.2712,9.5622,14.4826
moirai2,0.8695,0.2717,9.5903,14.577
chronos2_base,0.8695,0.2723,9.6486,14.735
TiRex,0.8731,0.2753,9.6572,14.6388
TimesFM-2.0,0.8732,0.2734,9.594,14.5637
sundial_base,0.8806,0.3011,9.709,14.4542
moirai_base,0.8829,0.2797,9.7483,14.6868
TimesFM-1.0,0.8956,0.2879,9.9061,14.9178
patchtst,0.8997,0.2898,9.8202,14.2432
deepar,0.9086,0.2979,9.8892,14.5658
lightgbm,0.9123,0.2863,10.0204,15.0485
dlinear,0.9324,0.3005,10.2294,14.8738
auto_ets,0.9773,0.323,10.8878,15.798
seasonal_naive,1.0649,0.3703,12.0103,18.2023
kairos,1.1953,0.3775,12.6856,17.9006
