model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8001,0.2861,7.3325,11.1203
patchtst,0.803,0.2842,7.349,11.0203
moirai2,0.808,0.2876,7.3946,11.1813
TimesFM-2.5,0.8096,0.2878,7.4069,11.1685
dlinear,0.818,0.2983,7.5183,11.0963
chronos2_base,0.8187,0.2919,7.5039,11.3942
TiRex,0.8203,0.2936,7.5413,11.406
chronos_bolt_base,0.8206,0.2957,7.5262,11.4515
TimesFM-2.0,0.8224,0.2941,7.5337,11.4025
moirai_base,0.8284,0.2995,7.6005,11.3725
deepar,0.8307,0.2946,7.5941,11.3715
sundial_base,0.833,0.3275,7.6755,11.3496
TimesFM-1.0,0.8431,0.3074,7.7731,11.6349
lightgbm,0.8544,0.315,7.9063,11.5977
auto_ets,0.936,0.3602,8.6974,12.4338
seasonal_naive,1.0564,0.4294,9.8828,14.7721
kairos,1.1355,0.415,10.518,14.7461
