model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8127,0.3291,11.2474,21.1094
TimesFM-2.5,0.8141,0.3281,11.2081,20.8145
TiRex,0.8181,0.3313,11.3276,21.1457
moirai2,0.8231,0.3275,11.3426,21.0773
patchtst,0.8325,0.3351,11.5427,21.3781
TimesFM-2.0,0.8332,0.3421,11.532,21.2255
chronos2_base,0.8333,0.3328,11.6178,23.2791
moirai_base,0.8374,0.3445,11.6552,21.7139
sundial_base,0.8393,0.3761,11.6837,21.2655
dlinear,0.8417,0.355,11.8172,21.1952
deepar,0.8455,0.3397,11.6987,21.7021
chronos_bolt_base,0.8478,0.3423,11.9098,24.562
TimesFM-1.0,0.8551,0.3564,11.9179,21.7823
lightgbm,0.912,0.3611,12.6696,23.0125
auto_ets,0.9304,0.4171,13.3337,24.0103
kairos,0.9651,0.4156,13.5811,23.5331
seasonal_naive,1.0969,0.5264,15.8454,28.9846
