model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8345,0.1756,0.1348,0.2121
TimesFM-2.5,0.8408,0.1755,0.1355,0.2133
TiRex,0.8425,0.1775,0.1367,0.2166
moirai2,0.8451,0.1762,0.1363,0.2143
patchtst,0.8462,0.1765,0.1359,0.2113
chronos2_base,0.8531,0.1785,0.1382,0.2195
sundial_base,0.8576,0.194,0.1389,0.2141
chronos_bolt_base,0.8577,0.18,0.1389,0.2206
moirai_base,0.8633,0.1824,0.1395,0.2195
TimesFM-2.0,0.8656,0.1816,0.1396,0.2185
dlinear,0.8688,0.1868,0.1402,0.2134
TimesFM-1.0,0.8898,0.1883,0.1436,0.2221
lightgbm,0.9112,0.1897,0.1458,0.2242
deepar,0.9145,0.1881,0.1477,0.2353
auto_ets,0.9552,0.2104,0.1567,0.2335
kairos,1.0321,0.2198,0.1684,0.2508
seasonal_naive,1.0726,0.2559,0.18,0.281
