model,MASE,CRPS,MAE,RMSE
patchtst,0.8299,0.239,17.0591,23.0909
TiRex,0.841,0.2364,17.3899,24.2054
TimesFM-2.5,0.8426,0.238,17.3753,23.9317
visiontspp_base,0.8442,0.2364,17.4389,24.1383
chronos_bolt_base,0.8463,0.2375,17.4897,24.3305
chronos2_base,0.8512,0.2383,17.5897,24.4515
sundial_base,0.8524,0.2603,17.5716,23.9449
TimesFM-2.0,0.8617,0.2457,17.7759,24.4175
moirai2,0.8646,0.243,17.8627,24.6594
lightgbm,0.8756,0.2451,18.0082,24.1865
moirai_base,0.882,0.2526,18.2592,25.1206
deepar,0.8863,0.2668,18.3305,24.7015
dlinear,0.8898,0.2468,18.2222,24.5607
TimesFM-1.0,0.9107,0.2589,18.8321,25.8727
auto_ets,0.9647,0.2801,19.9576,26.3698
seasonal_naive,1.0495,0.3099,21.8617,29.5802
kairos,1.4038,0.3826,28.7306,38.4145
