model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8126,0.3613,5.2732,8.1176
chronos_bolt_base,0.8173,0.3682,5.3071,8.1328
TimesFM-2.5,0.8202,0.362,5.3296,8.1805
TimesFM-2.0,0.825,0.3651,5.3606,8.2876
chronos2_base,0.8271,0.3687,5.3782,8.2621
TiRex,0.8294,0.3722,5.4062,8.2973
moirai2,0.8304,0.3684,5.4002,8.2548
patchtst,0.8342,0.3836,5.4096,8.0188
sundial_base,0.8351,0.417,5.4471,8.214
dlinear,0.8354,0.3952,5.4203,8.0014
TimesFM-1.0,0.8381,0.3849,5.4651,8.3608
deepar,0.8465,0.3634,5.4729,8.4605
moirai_base,0.852,0.3831,5.5361,8.3863
lightgbm,0.8765,0.4369,5.7322,8.3806
auto_ets,0.9448,0.4629,6.139,8.7798
seasonal_naive,1.0541,0.545,6.8791,10.2494
kairos,1.1048,0.4883,7.2194,10.2724
