model,MASE,CRPS,MAE,RMSE
TiRex,1.0803,0.5405,1.4892,5.7832
visiontspp_base,1.085,0.5609,1.535,5.8246
TimesFM-2.5,1.0907,0.4979,1.5015,5.7985
moirai2,1.0932,0.5331,1.5208,5.8418
TimesFM-2.0,1.1008,0.5652,1.5175,5.8167
moirai_base,1.1044,0.5327,1.5318,5.8568
TimesFM-1.0,1.1079,0.5735,1.5472,5.8148
chronos2_base,1.1081,0.5721,1.5707,5.99
chronos_bolt_base,1.1115,0.58,1.5653,5.988
sundial_base,1.1118,0.8937,1.6347,5.7291
patchtst,1.1163,0.6119,1.5223,5.88
deepar,1.1173,0.4803,1.5414,5.9429
lightgbm,1.138,0.7264,1.5816,5.8116
kairos,1.1654,0.8264,1.6756,5.9597
dlinear,1.2219,0.9001,1.762,5.75
auto_ets,1.3175,1.9036,2.2838,6.3303
seasonal_naive,1.4191,2.4446,2.3471,7.971
