model,MASE,CRPS,MAE,RMSE
TiRex,0.794,0.2054,11.8996,16.0301
TimesFM-2.5,0.8002,0.2077,11.9839,16.0239
visiontspp_base,0.8048,0.2059,12.0488,16.1619
chronos_bolt_base,0.8106,0.2075,12.1462,16.394
chronos2_base,0.8135,0.2073,12.1876,16.4482
TimesFM-2.0,0.8147,0.2136,12.21,16.2484
sundial_base,0.816,0.2311,12.2291,16.1658
patchtst,0.8319,0.224,12.4158,16.306
moirai2,0.8329,0.2151,12.5174,16.7798
dlinear,0.8343,0.2312,12.4527,16.421
moirai_base,0.8442,0.2171,12.675,16.8255
TimesFM-1.0,0.8725,0.2312,13.1589,17.4374
lightgbm,0.8933,0.2374,13.3725,17.1062
auto_ets,0.9204,0.2425,13.8327,17.8421
seasonal_naive,1.0494,0.2856,15.8951,20.9521
deepar,1.0925,0.3088,16.0845,20.7621
kairos,1.2163,0.3064,18.1831,23.7981
