model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8153,0.3364,3.1772,5.3159
patchtst,0.8174,0.3305,3.1763,5.3028
TimesFM-2.5,0.8186,0.3339,3.192,5.3576
TiRex,0.8201,0.3389,3.2103,5.3938
moirai2,0.8263,0.3355,3.2207,5.3948
chronos2_base,0.8326,0.3414,3.2628,5.5101
TimesFM-2.0,0.8375,0.3468,3.2854,5.5066
dlinear,0.8388,0.3472,3.2931,5.3694
chronos_bolt_base,0.841,0.3462,3.2887,5.5977
moirai_base,0.8431,0.3521,3.3266,5.5903
sundial_base,0.8441,0.3824,3.3142,5.4637
deepar,0.847,0.3455,3.2946,5.5186
TimesFM-1.0,0.856,0.3596,3.3564,5.5661
auto_ets,0.9202,0.4088,3.6599,5.8654
lightgbm,0.9424,0.3581,3.5931,5.971
kairos,0.9599,0.4102,3.8389,6.1831
seasonal_naive,1.086,0.5086,4.3069,6.9502
