model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8483,0.3673,10.1673,28.3484
TiRex,0.8559,0.3721,10.2476,28.3815
TimesFM-2.5,0.8571,0.362,10.2407,28.4214
patchtst,0.8573,0.3688,10.2988,28.5957
chronos2_base,0.8631,0.3752,10.3635,28.7294
moirai2,0.8645,0.3682,10.3518,28.555
chronos_bolt_base,0.8671,0.3785,10.4548,29.3829
TimesFM-2.0,0.8715,0.371,10.4233,28.6993
sundial_base,0.8742,0.4305,10.6674,28.2742
TimesFM-1.0,0.8754,0.3775,10.4808,28.5809
moirai_base,0.8768,0.3802,10.5397,28.7489
dlinear,0.8947,0.4139,11.3372,29.0336
deepar,0.8959,0.3837,10.6324,28.8869
lightgbm,0.9012,0.3909,10.7012,28.8281
kairos,0.9925,0.4406,12.0561,29.9541
auto_ets,1.0012,0.5631,13.3174,31.4686
seasonal_naive,1.1248,0.7008,14.2674,38.1738
