model,MASE,CRPS,MAE,RMSE
TiRex,1.2662,2.3668,1.4917,5.1116
visiontspp_base,1.2714,2.6924,1.5523,5.1723
TimesFM-2.5,1.274,1.9616,1.5141,5.1169
moirai2,1.2796,1.9607,1.522,5.1666
chronos2_base,1.2838,2.4918,1.5685,5.2941
chronos_bolt_base,1.2882,2.8904,1.5548,5.2851
moirai_base,1.2958,2.3031,1.5516,5.2299
sundial_base,1.3057,5.2691,1.6317,5.0467
patchtst,1.3313,1.274,1.5687,5.4346
lightgbm,1.3409,3.4303,1.5925,5.2465
TimesFM-2.0,1.3471,2.8585,1.5354,5.1434
deepar,1.389,0.7629,1.6202,5.3343
kairos,1.3896,4.5313,1.7303,5.3586
dlinear,1.4517,3.1829,1.78,5.366
TimesFM-1.0,1.4533,3.1731,1.5706,5.1685
auto_ets,1.4953,12.2662,2.1472,5.553
seasonal_naive,1.5648,17.3745,2.2102,6.7983
