model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8008,0.4914,6.2643,9.4515
TimesFM-2.5,0.8114,0.4751,6.3494,9.5349
patchtst,0.8165,0.5158,6.3727,9.363
TiRex,0.8166,0.4827,6.4121,9.6764
chronos_bolt_base,0.8176,0.4928,6.3938,9.5886
moirai2,0.8188,0.4895,6.4184,9.6518
chronos2_base,0.8199,0.4845,6.4088,9.6518
TimesFM-2.0,0.823,0.5008,6.4562,9.7639
dlinear,0.8302,0.5811,6.5146,9.477
sundial_base,0.8323,0.6043,6.5553,9.6198
moirai_base,0.833,0.5229,6.5191,9.7327
TimesFM-1.0,0.8355,0.5319,6.5793,9.8216
deepar,0.8523,0.428,6.5221,9.8725
lightgbm,0.874,0.6332,6.8709,9.742
auto_ets,0.9479,0.7093,7.461,10.4943
seasonal_naive,1.0589,0.8647,8.4228,12.4733
kairos,1.0959,0.6788,8.5579,11.9224
