model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8731,0.3539,0.0935,0.1567
TiRex,0.881,0.3498,0.0948,0.1595
TimesFM-2.5,0.8885,0.3574,0.0947,0.1577
chronos2_base,0.8894,0.3437,0.0955,0.1602
moirai2,0.8957,0.3372,0.0958,0.1595
chronos_bolt_base,0.8975,0.3608,0.0961,0.1615
TimesFM-2.0,0.9048,0.4715,0.0966,0.1611
sundial_base,0.9075,0.4293,0.0975,0.1583
patchtst,0.9136,0.3481,0.0968,0.1618
moirai_base,0.9189,0.3653,0.0986,0.163
TimesFM-1.0,0.9297,0.3945,0.0993,0.1631
lightgbm,0.9366,0.3966,0.0995,0.1631
dlinear,0.9489,0.4744,0.099,0.1577
deepar,1.0113,0.35,0.1033,0.1672
auto_ets,1.0396,0.5668,0.1137,0.1746
seasonal_naive,1.1072,0.6794,0.1237,0.2086
kairos,1.1252,0.4884,0.124,0.1931
