model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8041,0.3456,2.9076,5.4538
TiRex,0.8068,0.3468,2.9223,5.4724
TimesFM-2.5,0.8069,0.3418,2.9131,5.4584
moirai2,0.8159,0.3449,2.947,5.5266
patchtst,0.8183,0.3588,2.9541,5.4617
chronos2_base,0.8237,0.3528,2.9961,5.7073
sundial_base,0.8258,0.391,3.0048,5.5067
TimesFM-2.0,0.8275,0.3561,3.0068,5.5963
deepar,0.83,0.3546,2.9995,5.6071
moirai_base,0.8322,0.3608,3.0252,5.657
chronos_bolt_base,0.8324,0.3579,3.0388,6.0669
dlinear,0.8342,0.359,3.0304,5.5023
TimesFM-1.0,0.8389,0.3633,3.0422,5.6141
lightgbm,0.8599,0.3849,3.1191,5.6663
auto_ets,0.9213,0.4355,3.4333,6.1349
kairos,0.9277,0.4109,3.4014,6.0014
seasonal_naive,1.0884,0.5502,4.0438,7.4008
