model,MASE,CRPS,MAE,RMSE
TiRex,0.7797,0.2077,11.3628,15.2909
TimesFM-2.5,0.7838,0.2108,11.4109,15.2794
TimesFM-2.0,0.7907,0.2148,11.5383,15.4193
visiontspp_base,0.7926,0.209,11.5478,15.4666
sundial_base,0.7933,0.2321,11.5639,15.3239
dlinear,0.8032,0.2275,11.6765,15.5536
chronos2_base,0.8102,0.2134,11.83,15.9031
moirai2,0.8124,0.216,11.8787,15.8856
patchtst,0.8125,0.2357,11.8317,15.7206
deepar,0.8133,0.2563,11.8749,15.7974
chronos_bolt_base,0.8143,0.2138,11.8926,15.9668
moirai_base,0.8295,0.2188,12.1013,16.1216
TimesFM-1.0,0.8562,0.2381,12.5456,16.727
lightgbm,0.8564,0.2537,12.5188,16.2652
auto_ets,0.8935,0.2451,13.0753,17.0158
kairos,0.9939,0.2639,14.4891,19.0762
seasonal_naive,1.0496,0.2923,15.4297,20.1894
