model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.8147,0.3551,3.0709,5.0026
visiontspp_base,0.8163,0.3585,3.0754,5.008
TiRex,0.8176,0.3585,3.0879,5.0205
moirai2,0.8214,0.3549,3.0945,5.0457
patchtst,0.8238,0.359,3.093,4.9779
TimesFM-2.0,0.8255,0.3674,3.1283,5.0606
sundial_base,0.8323,0.4014,3.1715,5.0885
chronos2_base,0.8357,0.3659,3.1574,5.1326
moirai_base,0.8429,0.3769,3.1988,5.2335
deepar,0.8445,0.3825,3.2199,5.2096
dlinear,0.8524,0.3994,3.2997,5.1086
chronos_bolt_base,0.8532,0.3746,3.2215,5.2758
TimesFM-1.0,0.8647,0.3916,3.2949,5.2807
lightgbm,0.9097,0.38,3.4281,5.6382
kairos,0.9159,0.4208,3.5385,5.5624
auto_ets,0.929,0.4392,3.5616,5.6083
seasonal_naive,1.1025,0.5551,4.256,6.723
