model,MASE,CRPS,MAE,RMSE
patchtst,0.8071,0.3375,4.7219,7.38
visiontspp_base,0.809,0.3341,4.7337,7.5102
TimesFM-2.5,0.81,0.3301,4.7352,7.5399
dlinear,0.8153,0.348,4.8441,7.4966
TiRex,0.8154,0.3373,4.7855,7.6476
sundial_base,0.8212,0.3709,4.8441,7.611
moirai2,0.8221,0.3325,4.807,7.6327
deepar,0.8238,0.3399,4.8263,7.7041
TimesFM-2.0,0.8249,0.3442,4.8515,7.6537
chronos2_base,0.8259,0.3406,4.8438,7.6678
moirai_base,0.8304,0.3475,4.8797,7.7264
chronos_bolt_base,0.837,0.3471,4.9139,7.8026
TimesFM-1.0,0.8468,0.3557,4.9943,7.8325
lightgbm,0.8753,0.3502,5.1109,8.0742
kairos,0.8838,0.3742,5.2479,8.0906
auto_ets,0.9071,0.3997,5.3916,8.2263
seasonal_naive,1.0781,0.4938,6.4322,9.8847
