model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8116,0.3669,7.0585,10.4774
patchtst,0.8127,0.3678,7.0628,10.3643
TimesFM-2.5,0.8213,0.3671,7.1556,10.6145
chronos_bolt_base,0.8216,0.3787,7.1456,10.5359
dlinear,0.8244,0.379,7.1636,10.3958
TimesFM-2.0,0.8272,0.3705,7.1878,10.7198
TiRex,0.8279,0.377,7.2331,10.7185
moirai2,0.8299,0.3722,7.2269,10.6666
sundial_base,0.8319,0.4237,7.2581,10.5793
chronos2_base,0.8338,0.3797,7.2701,10.7699
TimesFM-1.0,0.8411,0.384,7.3273,10.8582
lightgbm,0.8465,0.3875,7.3649,10.8588
moirai_base,0.8477,0.3863,7.3988,10.8306
deepar,0.8488,0.3625,7.3035,11.052
auto_ets,0.936,0.4582,8.1604,11.4336
kairos,1.0173,0.4606,9.0851,12.7066
seasonal_naive,1.0642,0.5456,9.3179,13.405
