model,MASE,CRPS,MAE,RMSE
deepar,0.9067,0.4797,0.5683,2.4291
patchtst,0.9129,0.481,0.5704,2.428
lightgbm,0.9168,0.5017,0.5754,2.4175
TiRex,0.9291,0.5108,0.5784,2.4128
visiontspp_base,0.9323,0.5201,0.5866,2.4157
TimesFM-2.5,0.9324,0.4962,0.5813,2.4156
TimesFM-1.0,0.9425,0.5085,0.5872,2.416
moirai2,0.9445,0.5071,0.5898,2.4273
TimesFM-2.0,0.9452,0.5094,0.5844,2.4148
sundial_base,0.9458,0.6168,0.622,2.4074
chronos_bolt_base,0.9483,0.5354,0.5953,2.4291
dlinear,0.9539,0.5795,0.655,2.4455
moirai_base,0.9567,0.5284,0.5971,2.4233
kairos,0.9587,0.5469,0.6019,2.4368
chronos2_base,0.9757,0.5482,0.6248,2.593
auto_ets,1.1496,0.9624,0.8914,2.9396
seasonal_naive,1.2549,1.236,0.8884,3.3071
