model,MASE,CRPS,MAE,RMSE
visiontspp_base,1.0806,0.1609,4.8543,10.0593
TiRex,1.0854,0.1638,4.9244,10.1495
TimesFM-2.5,1.0865,0.1593,4.8959,10.0528
moirai2,1.09,0.1616,4.9067,10.0536
chronos2_base,1.0906,0.1619,4.9475,10.2941
chronos_bolt_base,1.099,0.1685,4.9901,10.4766
sundial_base,1.1141,0.1922,5.0875,10.1572
moirai_base,1.1209,0.1756,5.1044,10.3942
TimesFM-2.0,1.1318,0.1699,5.0297,10.2901
TimesFM-1.0,1.1952,0.1763,5.1509,10.4106
auto_ets,1.2158,0.3116,5.7697,10.9152
seasonal_naive,1.342,0.3745,6.3035,12.8719
kairos,1.4645,0.2509,7.4305,13.2823
patchtst,1.5473,0.1839,5.2061,10.5882
lightgbm,1.6227,0.2091,5.2668,10.5148
dlinear,1.7975,0.2402,5.2552,10.2494
deepar,2.7737,0.2075,5.5075,10.6324
