model,MASE,CRPS,MAE,RMSE
TiRex,1.1224,0.2065,3.0898,6.483
TimesFM-2.5,1.125,0.2041,3.0852,6.4062
visiontspp_base,1.1302,0.2065,3.0977,6.4233
sundial_base,1.1305,0.2269,3.1224,6.3206
moirai2,1.1344,0.2055,3.1239,6.4565
chronos2_base,1.1375,0.2115,3.1569,6.7563
TimesFM-2.0,1.1516,0.2118,3.1552,6.5341
chronos_bolt_base,1.1596,0.2149,3.2104,6.8318
moirai_base,1.1886,0.2173,3.256,6.6733
TimesFM-1.0,1.1911,0.2188,3.2356,6.5849
lightgbm,1.2072,0.2211,3.2386,6.5352
patchtst,1.2174,0.2104,3.1911,6.5207
auto_ets,1.2292,0.2596,3.5339,6.8045
kairos,1.3247,0.2452,3.6668,7.1336
seasonal_naive,1.3528,0.3217,3.9838,8.147
dlinear,1.4425,0.2472,3.3913,6.5172
deepar,1.558,0.2273,3.4437,6.7332
