model,MASE,CRPS,MAE,RMSE
TiRex,0.9391,0.2263,7.3793,13.698
chronos2_base,0.9423,0.2266,7.4354,13.7858
visiontspp_base,0.9534,0.224,7.3577,13.6291
TimesFM-2.5,0.9578,0.2279,7.4962,13.7385
chronos_bolt_base,0.9739,0.2337,7.5221,13.8563
moirai2,0.9789,0.2272,7.5333,13.8471
sundial_base,0.9909,0.2591,7.689,13.7808
TimesFM-2.0,1.0246,0.2426,7.7659,14.1007
moirai_base,1.0567,0.2422,7.8403,14.2222
auto_ets,1.075,0.3011,8.6509,14.6753
lightgbm,1.0854,0.2533,7.7494,14.0969
seasonal_naive,1.1367,0.3663,9.1527,16.8007
TimesFM-1.0,1.1591,0.2536,8.1274,14.5997
patchtst,1.2962,0.2388,7.717,13.8499
dlinear,1.599,0.2816,7.9252,13.86
deepar,2.1098,0.2424,7.9193,14.1435
kairos,2.6636,0.4313,14.7043,23.703
