model,MASE,CRPS,MAE,RMSE
TimesFM-2.5,0.9043,0.2612,0.2424,0.4392
TiRex,0.906,0.2586,0.2443,0.4465
visiontspp_base,0.9074,0.2572,0.2431,0.4431
sundial_base,0.9103,0.2898,0.2438,0.4354
moirai2,0.9172,0.2555,0.2461,0.4444
TimesFM-2.0,0.9228,0.2716,0.2464,0.4467
chronos2_base,0.9244,0.2618,0.2492,0.4597
chronos_bolt_base,0.9419,0.27,0.2525,0.4692
TimesFM-1.0,0.9476,0.2844,0.2521,0.4514
moirai_base,0.9621,0.281,0.2557,0.4578
patchtst,0.9779,0.2683,0.2485,0.4426
deepar,0.9918,0.2587,0.2517,0.4488
lightgbm,0.9945,0.3036,0.2544,0.4441
auto_ets,1.0189,0.333,0.2761,0.47
dlinear,1.0502,0.3095,0.259,0.4469
seasonal_naive,1.1246,0.4027,0.3081,0.5562
kairos,1.2723,0.3652,0.3339,0.5537
