model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8495,0.2263,31.6192,52.5272
TimesFM-2.5,0.86,0.2276,32.042,52.9477
TiRex,0.8632,0.2312,32.2666,53.4504
moirai2,0.8636,0.2284,32.1472,53.0072
chronos2_base,0.8702,0.2302,32.4988,54.4752
TimesFM-2.0,0.8756,0.2335,32.5497,53.7138
chronos_bolt_base,0.8785,0.2344,32.7621,55.6797
sundial_base,0.8816,0.2566,32.9812,53.3992
moirai_base,0.8913,0.2379,33.0893,54.1614
TimesFM-1.0,0.9162,0.2414,33.462,54.7526
auto_ets,0.9688,0.2758,36.8008,57.6024
seasonal_naive,1.0898,0.3289,41.5503,67.9091
kairos,1.1371,0.3002,42.8265,65.5376
deepar,1.2195,0.2323,33.3015,55.2323
lightgbm,1.2375,0.257,34.2894,54.624
dlinear,1.3259,0.242,32.8112,52.9855
patchtst,1.5061,0.2286,32.134,52.9582
