model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8324,0.256,16.04,30.4889
TimesFM-2.5,0.8429,0.255,16.2342,30.5685
TiRex,0.8444,0.2658,16.3108,30.9252
moirai2,0.846,0.256,16.2858,30.668
chronos2_base,0.853,0.2604,16.5335,32.1943
TimesFM-2.0,0.8582,0.2815,16.4874,30.9618
sundial_base,0.863,0.3287,16.6975,30.7959
chronos_bolt_base,0.8643,0.3098,16.7812,34.4363
moirai_base,0.868,0.2845,16.7435,31.3103
TimesFM-1.0,0.878,0.309,16.9908,31.6615
dlinear,0.9364,0.3477,16.8454,30.7986
auto_ets,0.9533,0.4163,18.9739,33.8174
patchtst,0.9696,0.3268,16.8673,31.5649
lightgbm,0.9732,0.5845,17.8979,32.1285
deepar,0.9807,0.3353,16.9515,32.2515
seasonal_naive,1.0807,0.5142,21.3757,40.2379
kairos,1.1025,0.4086,22.2215,37.7633
