model,MASE,CRPS,MAE,RMSE
visiontspp_base,0.8691,0.3556,11.6513,37.9651
TiRex,0.8758,0.3607,11.7413,37.9718
TimesFM-2.5,0.8759,0.3507,11.7083,37.9309
patchtst,0.8797,0.3583,11.8616,38.2033
moirai2,0.8815,0.3557,11.8095,38.0432
chronos2_base,0.8826,0.3633,11.8823,38.8772
chronos_bolt_base,0.8901,0.3674,12.0168,39.9656
TimesFM-2.0,0.8907,0.3593,11.8964,38.1672
TimesFM-1.0,0.8943,0.366,11.9629,37.9679
sundial_base,0.8952,0.4172,12.2362,37.7564
moirai_base,0.8987,0.3702,12.1053,38.4642
deepar,0.9143,0.3762,12.1872,38.4508
lightgbm,0.9199,0.3781,12.1775,38.2967
dlinear,0.9317,0.4162,13.2723,39.0432
kairos,1.0288,0.4387,14.1293,39.9189
auto_ets,1.0469,0.5953,15.488,41.8071
seasonal_naive,1.1577,0.7425,16.4792,51.5466
