model,MASE,CRPS,MAE,RMSE
TiRex,0.8183,0.1763,12.134,16.4385
patchtst,0.8206,0.1813,12.0983,15.9135
TimesFM-2.5,0.8223,0.1768,12.1793,16.374
visiontspp_base,0.8253,0.1757,12.22,16.5163
chronos_bolt_base,0.826,0.1768,12.2395,16.6343
sundial_base,0.8264,0.1935,12.2449,16.311
chronos2_base,0.8351,0.1776,12.3625,16.7946
TimesFM-2.0,0.8363,0.1823,12.3938,16.6
dlinear,0.8395,0.1867,12.3761,16.2995
moirai2,0.855,0.1843,12.6987,17.0842
lightgbm,0.8551,0.1916,12.6059,16.5033
moirai_base,0.8726,0.1887,12.9519,17.303
TimesFM-1.0,0.8902,0.1953,13.2664,17.9047
deepar,0.8958,0.2079,13.1632,17.3819
auto_ets,0.9536,0.2082,14.1754,18.3827
seasonal_naive,1.0458,0.2361,15.6498,20.9741
kairos,1.5527,0.3264,22.6676,29.3489
